InvoiceLineId  TrackName                                                   
-------------  ------------------------------------------------------------
1              Balls to the Wall                                           

2              Restless and Wild                                           

3              Put The Finger On You                                       

4              Inject The Venom                                            

5              Evil Walks                                                  

6              Breaking The Rules                                          

7              Dog Eat Dog                                                 

8              Overdose                                                    

9              Love In An Elevator                                         

10             Janie's Got A Gun                                           

11             Deuces Are Wild                                             

12             Angel                                                       

13             Right Through You                                           

14             Not The Doctor                                              

15             Bleed The Freak                                             

16             Confusion                                                   

17             Por Causa De Você                                           

18             Angela                                                      

19             Master Of Puppets                                           

20             Welcome Home (Sanitarium)                                   

21             Set It Off                                                  

22             Your Time Has Come                                          

23             Dandelion                                                   

24             Rock 'N' Roll Music                                         

25             Moon germs                                                  

26             Super Terrorizer                                            

27             Heart Of Gold                                               

28             Evil Woman                                                  

29             Cornucopia                                                  

30             Bowels Of The Devil                                         

31             Body Count Anthem                                           

32             Jerusalem                                                   

33             When My Left Eye Jumps                                      

34             Meditação                                                   

35             Esse Cara                                                   

36             Bye, Bye Brasil                                             

37             Atras Da Porta                                              

38             Tatuagem                                                    

39             Morena De Angola                                            

40             A Banda                                                     

41             Com Açúcar E Com Afeto                                      

42             Meu Caro Amigo                                              

43             Trocando Em Miúdos                                          

44             Gota D'água                                                 

45             Etnia                                                       

46             Samba Do Lado                                               

47             Sobremesa                                                   

48             Sangue De Bairro                                            

49             Amor De Muito                                               

50             Maracatu Atômico [Trip Hop]                                 

51             Samba Makossa                                               

52             Lixo Do Mangue                                              

53             Firmamento                                                  

54             Já Foi                                                      

55             A Cor Do Sol                                                

56             Firmamento                                                  

57             Sábado A Noite                                              

58             Linha Do Equador                                            

59             Livre Pra Viver                                             

60             Lavadeira                                                   

61             Dazed and Confused                                          

62             You Shook Me(2)                                             

63             Man With The Woman Head                                     

64             Leandro De Itaquera 2001                                    

65             Vôo Sobre o Horizonte                                       

66             All Star                                                    

67             Tanto Tempo                                                 

68             Bumbo Da Mangueira                                          

69             Die Die My Darling                                          

70             Radio GA GA                                                 

71             I'm Going Slightly Mad                                      

72             Sure Know Something                                         

73             God Of Thunder                                              

74             Valentino's                                                 

75             Believe                                                     

76             As We Sleep                                                 

77             J Squared                                                   

78             Maria                                                       

79             Longview                                                    

80             Basket Case                                                 

81             She                                                         

82             Geek Stink Breath                                           

83             Stuck With Me                                               

84             Nice Guys Finish Last                                       

85             Macy's Day Parade                                           

86             Don't You Cry                                               

87             Living On Love                                              

88             Wherever You May Go                                         

89             Diga Lá, Coração                                            

90             Comportamento Geral                                         

91             Podres Poderes                                              

92             Queixa                                                      

93             Ando Meio Desligado                                         

94             Vida De Cachorro                                            

95             Meu Refrigerador Não Funciona                               

96             Smoke On The Water                                          

97             Trampled Under Foot                                         

98             União Da Ilha                                               

99             Put Your Lights On                                          

100            Primavera                                                   

101            Seis Da Tarde                                               

102            Compulsion                                                  

103            The Pan Piper                                               

104            Jean Pierre (Live)                                          

105            Drum Boogie                                                 

106            Lemon Drop                                                  

107            Showcase                                                    

108            Como É Duro Trabalhar                                       

109            Pela Luz dos Olhos Teus (Miúcha e Tom Jobim)                

110            As Rosas Não Falam (Beth Carvalho)                          

111            Green River                                                 

112            Someday Never Comes                                         

113            Walking On The Water                                        

114            Suzie-Q, Pt. 2                                              

115            Good Golly Miss Molly                                       

116            Wrote A Song For Everyone                                   

117            Cotton Fields                                               

118            Don't Look Now                                              

119            Before You Accuse Me                                        

120            Pagan Baby                                                  

121            Born To Move                                                

122            Brasil                                                      

123            Coroné Antonio Bento                                        

124            Música Urbana 2                                             

125            Woman Of The World (Ao Vivo)                                

126            Smells Like Teen Spirit (Ao Vivo)                           

127            Admirável Gado Novo                                         

128            Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos)          

129            Drifter                                                     

130            Child In Time                                               

131            No No No                                                    

132            Knocking At Your Back Door                                  

133            The Unwritten Law                                           

134            Maybe I'm A Leo                                             

135            Vavoom : Ted The Mechanic                                   

136            Hey Cisco                                                   

137            Fortuneteller                                               

138            High Ball Shooter                                           

139            A Twist In The Tail                                         

140            Animal                                                      

141            Hysteria                                                    

142            Baltimore, DC                                               

143            Esquinas                                                    

144            Açai                                                        

145            Um Amor Puro                                                

146            Fascinação                                                  

147            Sunshine Of Your Love                                       

148            Lay Down Sally                                              

149            Tears In Heaven                                             

150            Naked In Front Of The Computer                              

151            Helpless                                                    

152            Mouth To Mouth                                              

153            She Loves Me Not                                            

154            Paths Of Glory                                              

155            Pristina                                                    

156            Caffeine                                                    

157            RV                                                          

158            Everything's Ruined                                         

