InvoiceLineId  Name                                                          ArtistName                                                  
-------------  ------------------------------------------------------------  ------------------------------------------------------------
1              Balls to the Wall                                             Accept                                                      

2              Restless and Wild                                             Accept                                                      

3              Put The Finger On You                                         AC/DC                                                       

4              Inject The Venom                                              AC/DC                                                       

5              Evil Walks                                                    AC/DC                                                       

6              Breaking The Rules                                            AC/DC                                                       

7              Dog Eat Dog                                                   AC/DC                                                       

8              Overdose                                                      AC/DC                                                       

9              Love In An Elevator                                           Aerosmith                                                   

10             Janie's Got A Gun                                             Aerosmith                                                   

11             Deuces Are Wild                                               Aerosmith                                                   

12             Angel                                                         Aerosmith                                                   

13             Right Through You                                             Alanis Morissette                                           

14             Not The Doctor                                                Alanis Morissette                                           

15             Bleed The Freak                                               Alice In Chains                                             

16             Confusion                                                     Alice In Chains                                             

17             Por Causa De Você                                             Antônio Carlos Jobim                                        

18             Angela                                                        Antônio Carlos Jobim                                        

19             Master Of Puppets                                             Apocalyptica                                                

20             Welcome Home (Sanitarium)                                     Apocalyptica                                                

21             Set It Off                                                    Audioslave                                                  

22             Your Time Has Come                                            Audioslave                                                  

23             Dandelion                                                     Audioslave                                                  

24             Rock 'N' Roll Music                                           BackBeat                                                    

25             Moon germs                                                    Billy Cobham                                                

26             Super Terrorizer                                              Black Label Society                                         

27             Heart Of Gold                                                 Black Label Society                                         

28             Evil Woman                                                    Black Sabbath                                               

29             Cornucopia                                                    Black Sabbath                                               

30             Bowels Of The Devil                                           Body Count                                                  

31             Body Count Anthem                                             Body Count                                                  

32             Jerusalem                                                     Bruce Dickinson                                             

33             When My Left Eye Jumps                                        Buddy Guy                                                   

34             Meditação                                                     Caetano Veloso                                              

35             Esse Cara                                                     Caetano Veloso                                              

36             Bye, Bye Brasil                                               Chico Buarque                                               

37             Atras Da Porta                                                Chico Buarque                                               

38             Tatuagem                                                      Chico Buarque                                               

39             Morena De Angola                                              Chico Buarque                                               

40             A Banda                                                       Chico Buarque                                               

41             Com Açúcar E Com Afeto                                        Chico Buarque                                               

42             Meu Caro Amigo                                                Chico Buarque                                               

43             Trocando Em Miúdos                                            Chico Buarque                                               

44             Gota D'água                                                   Chico Buarque                                               

45             Etnia                                                         Chico Science & Nação Zumbi                                 

46             Samba Do Lado                                                 Chico Science & Nação Zumbi                                 

47             Sobremesa                                                     Chico Science & Nação Zumbi                                 

48             Sangue De Bairro                                              Chico Science & Nação Zumbi                                 

49             Amor De Muito                                                 Chico Science & Nação Zumbi                                 

50             Maracatu Atômico [Trip Hop]                                   Chico Science & Nação Zumbi                                 

51             Samba Makossa                                                 Chico Science & Nação Zumbi                                 

52             Lixo Do Mangue                                                Chico Science & Nação Zumbi                                 

53             Firmamento                                                    Cidade Negra                                                

54             Já Foi                                                        Cidade Negra                                                

55             A Cor Do Sol                                                  Cidade Negra                                                

56             Firmamento                                                    Cidade Negra                                                

57             Sábado A Noite                                                Cidade Negra                                                

58             Linha Do Equador                                              Cláudio Zoli                                                

59             Livre Pra Viver                                               Cláudio Zoli                                                

60             Lavadeira                                                     Various Artists                                             

61             Dazed and Confused                                            Led Zeppelin                                                

62             You Shook Me(2)                                               Led Zeppelin                                                

63             Man With The Woman Head                                       Frank Zappa & Captain Beefheart                             

64             Leandro De Itaquera 2001                                      Various Artists                                             

65             Vôo Sobre o Horizonte                                         Marcos Valle                                                

66             All Star                                                      Marcos Valle                                                

67             Tanto Tempo                                                   Antônio Carlos Jobim                                        

68             Bumbo Da Mangueira                                            Antônio Carlos Jobim                                        

69             Die Die My Darling                                            Metallica                                                   

