TrackName                                                     AlbumName                                                     MediaType                    Genre             
------------------------------------------------------------  ------------------------------------------------------------  ---------------------------  ------------------
For Those About To Rock (We Salute You)                       For Those About To Rock We Salute You                         MPEG audio file              Rock              

Balls to the Wall                                             Balls to the Wall                                             Protected AAC audio file     Rock              

Fast As a Shark                                               Restless and Wild                                             Protected AAC audio file     Rock              

Restless and Wild                                             Restless and Wild                                             Protected AAC audio file     Rock              

Princess of the Dawn                                          Restless and Wild                                             Protected AAC audio file     Rock              

Put The Finger On You                                         For Those About To Rock We Salute You                         MPEG audio file              Rock              

Let's Get It Up                                               For Those About To Rock We Salute You                         MPEG audio file              Rock              

Inject The Venom                                              For Those About To Rock We Salute You                         MPEG audio file              Rock              

Snowballed                                                    For Those About To Rock We Salute You                         MPEG audio file              Rock              

Evil Walks                                                    For Those About To Rock We Salute You                         MPEG audio file              Rock              

C.O.D.                                                        For Those About To Rock We Salute You                         MPEG audio file              Rock              

Breaking The Rules                                            For Those About To Rock We Salute You                         MPEG audio file              Rock              

Night Of The Long Knives                                      For Those About To Rock We Salute You                         MPEG audio file              Rock              

Spellbound                                                    For Those About To Rock We Salute You                         MPEG audio file              Rock              

Go Down                                                       Let There Be Rock                                             MPEG audio file              Rock              

Dog Eat Dog                                                   Let There Be Rock                                             MPEG audio file              Rock              

Let There Be Rock                                             Let There Be Rock                                             MPEG audio file              Rock              

Bad Boy Boogie                                                Let There Be Rock                                             MPEG audio file              Rock              

Problem Child                                                 Let There Be Rock                                             MPEG audio file              Rock              

Overdose                                                      Let There Be Rock                                             MPEG audio file              Rock              

Hell Ain't A Bad Place To Be                                  Let There Be Rock                                             MPEG audio file              Rock              

Whole Lotta Rosie                                             Let There Be Rock                                             MPEG audio file              Rock              

Walk On Water                                                 Big Ones                                                      MPEG audio file              Rock              

Love In An Elevator                                           Big Ones                                                      MPEG audio file              Rock              

Rag Doll                                                      Big Ones                                                      MPEG audio file              Rock              

What It Takes                                                 Big Ones                                                      MPEG audio file              Rock              

Dude (Looks Like A Lady)                                      Big Ones                                                      MPEG audio file              Rock              

Janie's Got A Gun                                             Big Ones                                                      MPEG audio file              Rock              

Cryin'                                                        Big Ones                                                      MPEG audio file              Rock              

Amazing                                                       Big Ones                                                      MPEG audio file              Rock              

Blind Man                                                     Big Ones                                                      MPEG audio file              Rock              

Deuces Are Wild                                               Big Ones                                                      MPEG audio file              Rock              

The Other Side                                                Big Ones                                                      MPEG audio file              Rock              

Crazy                                                         Big Ones                                                      MPEG audio file              Rock              

Eat The Rich                                                  Big Ones                                                      MPEG audio file              Rock              

Angel                                                         Big Ones                                                      MPEG audio file              Rock              

Livin' On The Edge                                            Big Ones                                                      MPEG audio file              Rock              

All I Really Want                                             Jagged Little Pill                                            MPEG audio file              Rock              

You Oughta Know                                               Jagged Little Pill                                            MPEG audio file              Rock              

Perfect                                                       Jagged Little Pill                                            MPEG audio file              Rock              

Hand In My Pocket                                             Jagged Little Pill                                            MPEG audio file              Rock              

Right Through You                                             Jagged Little Pill                                            MPEG audio file              Rock              

Forgiven                                                      Jagged Little Pill                                            MPEG audio file              Rock              

You Learn                                                     Jagged Little Pill                                            MPEG audio file              Rock              

Head Over Feet                                                Jagged Little Pill                                            MPEG audio file              Rock              

Mary Jane                                                     Jagged Little Pill                                            MPEG audio file              Rock              

Ironic                                                        Jagged Little Pill                                            MPEG audio file              Rock              

Not The Doctor                                                Jagged Little Pill                                            MPEG audio file              Rock              

Wake Up                                                       Jagged Little Pill                                            MPEG audio file              Rock              

You Oughta Know (Alternate)                                   Jagged Little Pill                                            MPEG audio file              Rock              

We Die Young                                                  Facelift                                                      MPEG audio file              Rock              

Man In The Box                                                Facelift                                                      MPEG audio file              Rock              

Sea Of Sorrow                                                 Facelift                                                      MPEG audio file              Rock              

Bleed The Freak                                               Facelift                                                      MPEG audio file              Rock              

I Can't Remember                                              Facelift                                                      MPEG audio file              Rock              

Love, Hate, Love                                              Facelift                                                      MPEG audio file              Rock              

It Ain't Like That                                            Facelift                                                      MPEG audio file              Rock              

Sunshine                                                      Facelift                                                      MPEG audio file              Rock              

Put You Down                                                  Facelift                                                      MPEG audio file              Rock              

Confusion                                                     Facelift                                                      MPEG audio file              Rock              

I Know Somethin (Bout You)                                    Facelift                                                      MPEG audio file              Rock              

Real Thing                                                    Facelift                                                      MPEG audio file              Rock              

Desafinado                                                    Warner 25 Anos                                                MPEG audio file              Jazz              

Garota De Ipanema                                             Warner 25 Anos                                                MPEG audio file              Jazz              

Samba De Uma Nota Só (One Note Samba)                         Warner 25 Anos                                                MPEG audio file              Jazz              

Por Causa De Você                                             Warner 25 Anos                                                MPEG audio file              Jazz              

Ligia                                                         Warner 25 Anos                                                MPEG audio file              Jazz              

Fotografia                                                    Warner 25 Anos                                                MPEG audio file              Jazz              

Dindi (Dindi)                                                 Warner 25 Anos                                                MPEG audio file              Jazz              

Se Todos Fossem Iguais A Você (Instrumental)                  Warner 25 Anos                                                MPEG audio file              Jazz              

Falando De Amor                                               Warner 25 Anos                                                MPEG audio file              Jazz              

Angela                                                        Warner 25 Anos                                                MPEG audio file              Jazz              

Corcovado (Quiet Nights Of Quiet Stars)                       Warner 25 Anos                                                MPEG audio file              Jazz              

Outra Vez                                                     Warner 25 Anos                                                MPEG audio file              Jazz              

O Boto (Bôto)                                                 Warner 25 Anos                                                MPEG audio file              Jazz              

Canta, Canta Mais                                             Warner 25 Anos                                                MPEG audio file              Jazz              

Enter Sandman                                                 Plays Metallica By Four Cellos                                MPEG audio file              Metal             

Master Of Puppets                                             Plays Metallica By Four Cellos                                MPEG audio file              Metal             

Harvester Of Sorrow                                           Plays Metallica By Four Cellos                                MPEG audio file              Metal             

The Unforgiven                                                Plays Metallica By Four Cellos                                MPEG audio file              Metal             

Sad But True                                                  Plays Metallica By Four Cellos                                MPEG audio file              Metal             

Creeping Death                                                Plays Metallica By Four Cellos                                MPEG audio file              Metal             

